###########################################################################################################################################################

                         learning rate: 6e-05,  mlp_hidden_sizes: [1024, 512], batch_size: 32, norm: True, alpha: 10, avg embeddings: False, 
                        crop: 224 resize: 256, use conv: True pretrained: None, seed: 42, angle range: 90, shift range: 110, 
                        train length: 2048, val length: 320, test length: 320, get old path: False, embeddings to use: ['rotated_embeddings', 'original_embeddings', 'mul_embedding'],
                        use_cls: False


###########################################################################################################################################################

                         learning rate: 6e-05,  mlp_hidden_sizes: [1024, 512], batch_size: 32, norm: True, alpha: 10, avg embeddings: False, 
                        crop: 224 resize: 256, use conv: True pretrained: None, seed: 42, angle range: 90, shift range: 110, 
                        train length: 2048, val length: 320, test length: 320, get old path: False, embeddings to use: ['rotated_embeddings', 'original_embeddings', 'mul_embedding'],
                        use_cls: False


###########################################################################################################################################################

                         learning rate: 6e-05,  mlp_hidden_sizes: [1024, 512], batch_size: 32, norm: True, alpha: 10, avg embeddings: False, 
                        crop: 224 resize: 256, use conv: True pretrained: None, seed: 42, angle range: 90, shift range: 110, 
                        train length: 2048, val length: 320, test length: 320, get old path: False, embeddings to use: ['rotated_embeddings', 'original_embeddings', 'mul_embedding'],
                        use_cls: False


###########################################################################################################################################################

                         learning rate: 6e-05,  mlp_hidden_sizes: [1024, 512], batch_size: 32, norm: True, alpha: 10, avg embeddings: False, 
                        crop: 224 resize: 256, use conv: True pretrained: None, seed: 42, angle range: 90, shift range: 110, 
                        train length: 2048, val length: 320, test length: 320, get old path: False, embeddings to use: ['rotated_embeddings', 'original_embeddings', 'mul_embedding'],
                        use_cls: False


Epoch 1/300: Training Loss: 2.5947349071502686		 Val Loss: 0.9546116828918457
	      Training MAE Angle: 0.49108609557151794		 Val MAE Angle: 0.48120932579040526
              Training MSE Angle: 0.325222909450531		 Val MSE Angle: 0.3145956754684448
	      Training MAE Shift: 0.3928524851799011		 Val MAE Shift: 0.2085545539855957
              Training Euclidean Shift: 0.6038349866867065	 Val Euclidean Shift: 0.3171261787414551


Epoch 2/300: Training Loss: 0.5647116899490356		 Val Loss: 1.0561113357543945
	      Training MAE Angle: 0.5022727847099304		 Val MAE Angle: 0.4929935932159424
              Training MSE Angle: 0.3341796100139618		 Val MSE Angle: 0.33167362213134766
	      Training MAE Shift: 0.11189080029726028		 Val MAE Shift: 0.22939138412475585
              Training Euclidean Shift: 0.17540843784809113	 Val Euclidean Shift: 0.3495901823043823


Epoch 3/300: Training Loss: 0.4362277686595917		 Val Loss: 0.38905911445617675
	      Training MAE Angle: 0.508910059928894		 Val MAE Angle: 0.4997385501861572
              Training MSE Angle: 0.3413601815700531		 Val MSE Angle: 0.33592681884765624
	      Training MAE Shift: 0.07175454497337341		 Val MAE Shift: 0.05614988803863526
              Training Euclidean Shift: 0.11309657990932465	 Val Euclidean Shift: 0.08898997902870179


