###########################################################################################################################################################

                         learning rate: 0.0001, lr_decay: 0.8, mlp_hidden_sizes: [1024, 512], jump_frames: 2, use_reconstruction_layer: True
                        batch_size: 8, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], dataset: Stereo,
                        average embeddings: False, model: microsoft/resnet-152, augmentation: True, random crop: True, deepF_nocorrs: False, part: head, get_old_path: False,
                        SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.5, ALG_COEFF: 0, L2_coeff: 1, huber_coeff: 1, frozen layers: 0, trained vit: None,
                        crop: 224 resize: 256, use conv: False pretrained: None, data_ratio: 0.025, norm_mean: tensor([0.5000, 0.5000, 0.5000], device='cuda:0'), norm_std: tensor([0.5000, 0.5000, 0.5000], device='cuda:0'), sched: None seed: 42, 

##### CONTINUE TRAINING #####

Epoch 41/12000: 	Training Loss: 2.439133139217601		 Val Loss: 3.8469699223836265
             	Training MAE: 0.25564098358154297		 Val MAE: 0.28840622305870056
             	Algebraic dist: 52.4515380859375		 Val Algebraic dist: 113.9032694498698
             	RE1 dist: 4745.60294117647		 Val RE1 dist: 11987.0859375
             	SED dist: 4.467052684110754		 Val SED dist: 7.219374338785808

Epoch 42/12000: 	Training Loss: 2.1402556475471046		 Val Loss: 3.5435053507486978
             	Training MAE: 0.2540838420391083		 Val MAE: 0.28947383165359497
             	Algebraic dist: 57.34825224034927		 Val Algebraic dist: 112.01478068033855
             	RE1 dist: 5083.20174632353		 Val RE1 dist: 12620.640625
             	SED dist: 3.8768036786247704		 Val SED dist: 6.606852849324544

Epoch 43/12000: 	Training Loss: 1.9510969274184282		 Val Loss: 3.472999890645345
             	Training MAE: 0.2487027794122696		 Val MAE: 0.2944656014442444
             	Algebraic dist: 50.61169074563419		 Val Algebraic dist: 120.15761311848958
             	RE1 dist: 4023.919117647059		 Val RE1 dist: 14168.6171875
             	SED dist: 3.5050371955422794		 Val SED dist: 6.444552103678386

Epoch 44/12000: 	Training Loss: 2.0596838558421418		 Val Loss: 3.787350654602051
             	Training MAE: 0.24982532858848572		 Val MAE: 0.2837626338005066
             	Algebraic dist: 54.399787454044116		 Val Algebraic dist: 119.29468790690105
             	RE1 dist: 4735.57169117647		 Val RE1 dist: 13836.875
             	SED dist: 3.7190271265366497		 Val SED dist: 7.102280934651692

Epoch 45/12000: 	Training Loss: 2.0364276661592373		 Val Loss: 3.723261515299479
             	Training MAE: 0.24380561709403992		 Val MAE: 0.27695173025131226
             	Algebraic dist: 54.84596162683823		 Val Algebraic dist: 115.2772216796875
             	RE1 dist: 4823.3515625		 Val RE1 dist: 12597.071614583334
             	SED dist: 3.6885687884162452		 Val SED dist: 6.983533223470052

Epoch 46/12000: 	Training Loss: 2.065634110394646		 Val Loss: 3.5033130645751953
             	Training MAE: 0.23371729254722595		 Val MAE: 0.27653807401657104
             	Algebraic dist: 54.343545352711395		 Val Algebraic dist: 115.26800537109375
             	RE1 dist: 4254.6875		 Val RE1 dist: 13884.69921875
             	SED dist: 3.7687216366038605		 Val SED dist: 6.5486634572347

Epoch 47/12000: 	Training Loss: 1.8425607120289522		 Val Loss: 3.5195064544677734
             	Training MAE: 0.24205806851387024		 Val MAE: 0.2735331654548645
             	Algebraic dist: 51.41919304342831		 Val Algebraic dist: 109.26517740885417
             	RE1 dist: 4197.802389705882		 Val RE1 dist: 13746.0859375
             	SED dist: 3.304067948285271		 Val SED dist: 6.589942296346028

Epoch 48/12000: 	Training Loss: 1.7730100295122933		 Val Loss: 3.5323403676350913
             	Training MAE: 0.24380631744861603		 Val MAE: 0.2784058749675751
             	Algebraic dist: 54.04336009306066		 Val Algebraic dist: 116.57176717122395
             	RE1 dist: 4238.617647058823		 Val RE1 dist: 14458.705729166666
             	SED dist: 3.166065216064453		 Val SED dist: 6.611112594604492

Epoch 49/12000: 	Training Loss: 1.869374443502987		 Val Loss: 3.6757046381632485
             	Training MAE: 0.24053336679935455		 Val MAE: 0.2764439582824707
             	Algebraic dist: 54.324502383961395		 Val Algebraic dist: 122.7061055501302
             	RE1 dist: 4497.185202205882		 Val RE1 dist: 18940.494791666668
             	SED dist: 3.3683354994829964		 Val SED dist: 6.898356119791667

Epoch 50/12000: 	Training Loss: 1.820258196662454		 Val Loss: 3.3872178395589194
             	Training MAE: 0.24500834941864014		 Val MAE: 0.27587437629699707
             	Algebraic dist: 54.368813907398895		 Val Algebraic dist: 100.4545389811198
             	RE1 dist: 4797.871323529412		 Val RE1 dist: 10895.515625
             	SED dist: 3.262851266299977		 Val SED dist: 6.329857508341472

Epoch 51/12000: 	Training Loss: 1.7350251814898323		 Val Loss: 3.5377400716145835
             	Training MAE: 0.24889631569385529		 Val MAE: 0.279486745595932
             	Algebraic dist: 52.0073673023897		 Val Algebraic dist: 120.63132731119792
             	RE1 dist: 4013.518841911765		 Val RE1 dist: 14408.479166666666
             	SED dist: 3.0875634586109832		 Val SED dist: 6.625118891398112

Epoch 52/12000: 	Training Loss: 1.7596934823428882		 Val Loss: 3.46450138092041
             	Training MAE: 0.24214571714401245		 Val MAE: 0.28159478306770325
             	Algebraic dist: 54.87130198759191		 Val Algebraic dist: 117.01127115885417
             	RE1 dist: 4329.699448529412		 Val RE1 dist: 13311.407552083334
             	SED dist: 3.1539820502786076		 Val SED dist: 6.478201548258464

Epoch 53/12000: 	Training Loss: 1.715467228608973		 Val Loss: 3.369325319925944
             	Training MAE: 0.2447311282157898		 Val MAE: 0.27455997467041016
             	Algebraic dist: 52.723683076746326		 Val Algebraic dist: 113.2462666829427
             	RE1 dist: 3935.910845588235		 Val RE1 dist: 13084.904947916666
             	SED dist: 3.064969904282514		 Val SED dist: 6.29754638671875

Epoch 54/12000: 	Training Loss: 1.722135768217199		 Val Loss: 3.5066823959350586
             	Training MAE: 0.24227295815944672		 Val MAE: 0.2688329815864563
             	Algebraic dist: 51.5962703929228		 Val Algebraic dist: 109.80283610026042
             	RE1 dist: 3847.077205882353		 Val RE1 dist: 13385.419270833334
             	SED dist: 3.0836071687586166		 Val SED dist: 6.597108205159505

Epoch 55/12000: 	Training Loss: 1.6770541247199564		 Val Loss: 3.4071337381998696
             	Training MAE: 0.24103228747844696		 Val MAE: 0.27635565400123596
             	Algebraic dist: 51.63083065257353		 Val Algebraic dist: 120.85415649414062
             	RE1 dist: 4136.536305147059		 Val RE1 dist: 16748.78515625
             	SED dist: 2.9996140423943016		 Val SED dist: 6.371239344278972

Epoch 56/12000: 	Training Loss: 1.6868637309354895		 Val Loss: 3.7176535924275718
             	Training MAE: 0.24361366033554077		 Val MAE: 0.27897438406944275
             	Algebraic dist: 51.1374942555147		 Val Algebraic dist: 126.70597330729167
             	RE1 dist: 4108.114430147059		 Val RE1 dist: 18411.705729166668
             	SED dist: 3.0137921501608456		 Val SED dist: 6.988461812337239

Epoch 57/12000: 	Training Loss: 1.6631865781896256		 Val Loss: 3.217433293660482
             	Training MAE: 0.24376793205738068		 Val MAE: 0.27051934599876404
             	Algebraic dist: 51.30065558938419		 Val Algebraic dist: 108.6774190266927
             	RE1 dist: 4199.526654411765		 Val RE1 dist: 11713.993489583334
             	SED dist: 2.966282564051011		 Val SED dist: 6.01439094543457

Epoch 58/12000: 	Training Loss: 1.7026174208697151		 Val Loss: 3.4860267639160156
             	Training MAE: 0.2421446293592453		 Val MAE: 0.2585683763027191
             	Algebraic dist: 49.54970774931066		 Val Algebraic dist: 115.28536987304688
             	RE1 dist: 4104.20450367647		 Val RE1 dist: 12570.157552083334
             	SED dist: 3.05432689891142		 Val SED dist: 6.586659113566081

Epoch 59/12000: 	Training Loss: 1.6258974636302275		 Val Loss: 3.6758041381835938
             	Training MAE: 0.23176543414592743		 Val MAE: 0.2603338658809662
             	Algebraic dist: 49.03884349149816		 Val Algebraic dist: 113.12060546875
             	RE1 dist: 3709.0346966911766		 Val RE1 dist: 14879.87109375
             	SED dist: 2.925752078785616		 Val SED dist: 6.961422602335612

Epoch 60/12000: 	Training Loss: 1.6566812851849724		 Val Loss: 3.6714146931966147
             	Training MAE: 0.23534409701824188		 Val MAE: 0.26140084862709045
             	Algebraic dist: 49.147927676930145		 Val Algebraic dist: 116.3173116048177
             	RE1 dist: 3416.03515625		 Val RE1 dist: 16411.8515625
             	SED dist: 2.9808735566980697		 Val SED dist: 6.945878982543945

Epoch 61/12000: 	Training Loss: 1.6289450701545267		 Val Loss: 3.3523524602254233
             	Training MAE: 0.23305153846740723		 Val MAE: 0.258267879486084
             	Algebraic dist: 50.972178739659924		 Val Algebraic dist: 108.41510009765625
             	RE1 dist: 3815.9296875		 Val RE1 dist: 12223.84765625
             	SED dist: 2.9329667932846966		 Val SED dist: 6.319866180419922

Epoch 62/12000: 	Training Loss: 1.5797215630026424		 Val Loss: 3.324591318766276
             	Training MAE: 0.235600084066391		 Val MAE: 0.25943779945373535
             	Algebraic dist: 49.07580925436581		 Val Algebraic dist: 103.12986246744792
             	RE1 dist: 3788.529411764706		 Val RE1 dist: 10377.114583333334
             	SED dist: 2.832814833697151		 Val SED dist: 6.269880930582683

Epoch 63/12000: 	Training Loss: 1.5592355167164522		 Val Loss: 3.40973695119222
             	Training MAE: 0.2327233850955963		 Val MAE: 0.26050928235054016
             	Algebraic dist: 47.12401984719669		 Val Algebraic dist: 113.75302124023438
             	RE1 dist: 3170.420726102941		 Val RE1 dist: 14503.727864583334
             	SED dist: 2.7986943862017464		 Val SED dist: 6.426157633463542

Epoch 64/12000: 	Training Loss: 1.5240876814898323		 Val Loss: 3.331517219543457
             	Training MAE: 0.23615655303001404		 Val MAE: 0.25934886932373047
             	Algebraic dist: 48.743203555836395		 Val Algebraic dist: 108.58990478515625
             	RE1 dist: 3250.5882352941176		 Val RE1 dist: 12759.48828125
             	SED dist: 2.7238857044893154		 Val SED dist: 6.275564193725586

Epoch 65/12000: 	Training Loss: 1.6418998942655676		 Val Loss: 3.6373697916666665
             	Training MAE: 0.23406021296977997		 Val MAE: 0.26268696784973145
             	Algebraic dist: 48.02437815946691		 Val Algebraic dist: 118.85042317708333
             	RE1 dist: 3144.349494485294		 Val RE1 dist: 13901.84375
             	SED dist: 2.9641167135799633		 Val SED dist: 6.8860219319661455

Epoch 66/12000: 	Training Loss: 1.5283537471995634		 Val Loss: 3.2549896240234375
             	Training MAE: 0.23352926969528198		 Val MAE: 0.2549838423728943
             	Algebraic dist: 48.836357565487134		 Val Algebraic dist: 105.90559895833333
             	RE1 dist: 3592.3805147058824		 Val RE1 dist: 11883.430989583334
             	SED dist: 2.742219363941866		 Val SED dist: 6.137933095296224

Epoch 67/12000: 	Training Loss: 1.6347126680261947		 Val Loss: 3.4336318969726562
             	Training MAE: 0.23274855315685272		 Val MAE: 0.26157212257385254
             	Algebraic dist: 49.19444364659927		 Val Algebraic dist: 113.3941650390625
             	RE1 dist: 3688.2693014705883		 Val RE1 dist: 13642.453125
             	SED dist: 2.9534142438103173		 Val SED dist: 6.488934834798177

Epoch 68/12000: 	Training Loss: 1.624825870289522		 Val Loss: 3.5034748713175454
             	Training MAE: 0.23184268176555634		 Val MAE: 0.24618074297904968
             	Algebraic dist: 47.12339872472427		 Val Algebraic dist: 110.04457600911458
             	RE1 dist: 3210.255744485294		 Val RE1 dist: 11772.958333333334
             	SED dist: 2.937409344841452		 Val SED dist: 6.657589594523112

Epoch 69/12000: 	Training Loss: 1.6320318334242876		 Val Loss: 3.720181147257487
             	Training MAE: 0.22748973965644836		 Val MAE: 0.25768858194351196
             	Algebraic dist: 50.169577205882355		 Val Algebraic dist: 116.21193440755208
             	RE1 dist: 3894.7265625		 Val RE1 dist: 16910.16796875
             	SED dist: 2.9639084759880516		 Val SED dist: 7.068620681762695

Epoch 70/12000: 	Training Loss: 1.5483645270852482		 Val Loss: 3.332916259765625
             	Training MAE: 0.2406826615333557		 Val MAE: 0.2573469877243042
             	Algebraic dist: 48.171210793887866		 Val Algebraic dist: 112.55074055989583
             	RE1 dist: 3246.311351102941		 Val RE1 dist: 12984.529947916666
             	SED dist: 2.7697195165297566		 Val SED dist: 6.293682098388672

Epoch 71/12000: 	Training Loss: 1.4696324292351217		 Val Loss: 3.3800226847330728
             	Training MAE: 0.23585468530654907		 Val MAE: 0.2516961097717285
             	Algebraic dist: 46.5442325367647		 Val Algebraic dist: 104.8627421061198
             	RE1 dist: 2979.6488970588234		 Val RE1 dist: 14834.397135416666
             	SED dist: 2.625063054701861		 Val SED dist: 6.409203847249349

Epoch 72/12000: 	Training Loss: 1.4951020409079159		 Val Loss: 3.4494187037150064
             	Training MAE: 0.23071621358394623		 Val MAE: 0.2581689655780792
             	Algebraic dist: 46.89569091796875		 Val Algebraic dist: 110.853515625
             	RE1 dist: 3112.403262867647		 Val RE1 dist: 13921.295572916666
             	SED dist: 2.6928502251120174		 Val SED dist: 6.523452123006185

Epoch 73/12000: 	Training Loss: 1.4814280341653263		 Val Loss: 3.116536776224772
             	Training MAE: 0.2312333881855011		 Val MAE: 0.250905841588974
