###########################################################################################################################################################

        learning rate vit: 0.0001, learning rate mlp: 0.0001, lr_sched: True, mlp_hidden_sizes: [1024, 512, 256], jump_frames: 2, use_reconstruction_layer: True
        batch_size: 16, norm: True, train_seqeunces: [0], val_sequences: [0], dataset: Stereo,
        average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False,
        SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.01, ALG_COEFF: 0, unforzen layers: 0, group conv: False
        crop: 224 resize: 256, use conv: True pretrained: None 

algebraic_truth: 0.024857250570553786		 val_algebraic_truth: 0.02541717540386111
algebraic_sqr_truth: 0.0008399888263111226	 val_algebraic_sqr_truth: 0.0009017100687636885                                
RE1_truth: 0.0004199944131555613		 val_RE1_truth: 0.0004508550343818443
SED_truth: 0.003359954608114142		 val_SED_truth: 0.0036068364631297975

Epoch 1/1500: Training Loss: 85.55664633589181		 Val Loss: 72.08808366642442
             Training MAE: 0.26405251026153564		 Val MAE: 0.2820875346660614
             Algebraic dist: 2458.6198830409357		 Val Algebraic dist: 936.3300327034884
             Algebraic sqr dist: 14581602.807017544	  Val Algebraic sqr dist: 1575855.0697674418
             RE1 dist: 7290801.403508772		 Val RE1 dist: 787927.5348837209
             SED dist: 8535.97514619883		 Val SED dist: 7184.394622093023

Epoch 2/1500: Training Loss: 76.38557086074562		 Val Loss: 69.04883380268895
             Training MAE: 0.2859349250793457		 Val MAE: 0.28697675466537476
             Algebraic dist: 504.36924342105266		 Val Algebraic dist: 167.55226880450581
             Algebraic sqr dist: 530212.0233918129	  Val Algebraic sqr dist: 51111.75581395349
             RE1 dist: 265106.01169590646		 Val RE1 dist: 25555.88081395349
             SED dist: 7612.399122807017		 Val SED dist: 6877.483284883721

Epoch 3/1500: Training Loss: 50.57115200109649		 Val Loss: 2.3690409105877546
             Training MAE: 0.26929986476898193		 Val MAE: 0.20775124430656433
             Algebraic dist: 55.78357433296784		 Val Algebraic dist: 14.467228379360465
             Algebraic sqr dist: 10618.290935672514	  Val Algebraic sqr dist: 352.17569040697674
             RE1 dist: 5309.145467836257		 Val RE1 dist: 176.08784520348837
             SED dist: 5031.328581871345		 Val SED dist: 219.02895621366278

Epoch 4/1500: Training Loss: 0.7341404072722496		 Val Loss: 0.434590361839117
             Training MAE: 0.19572119414806366		 Val MAE: 0.19226452708244324
             Algebraic dist: 14.639724106816521		 Val Algebraic dist: 15.760980650436046
             Algebraic sqr dist: 376.5131807383041	  Val Algebraic sqr dist: 427.67119367732556
             RE1 dist: 188.25659036915204		 Val RE1 dist: 213.83559683866278
