###########################################################################################################################################################

                         learning rate: 0.0001, lr_decay: 0.8, mlp_hidden_sizes: [1024, 512], jump_frames: 2, use_reconstruction_layer: True
                        batch_size: 8, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], dataset: Stereo,
                        average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False, part: tail, get_old_path: False,
                        SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.5, ALG_COEFF: 0, L2_coeff: 1, huber_coeff: 1, frozen layers: 8, trained vit: plots/Affine/BS_32__lr_6e-05__train_size_9216__CLIP__alpha_10__conv__original_rotated/model.pth,
                        crop: 224 resize: 256, use conv: False pretrained: None, data_ratio: 0.0375, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0'), sched: None seed: 42, 

algebraic_truth: 0.01670689676322189		 val_algebraic_truth: 0.017433333046296063
RE1_truth: 0.00018817146180891524		 val_RE1_truth: 0.00021114778321455508
SED_truth: 0.001505373155369478		 val_SED_truth: 0.001689185991006739

Epoch 1/9000: 	Training Loss: 4471.039522058823		 Val Loss: 1984.0859375
             	Training MAE: 0.2943251430988312		 Val MAE: 0.28764182329177856
             	Algebraic dist: 207.51055070465685		 Val Algebraic dist: 215.664794921875
             	RE1 dist: 294066.1176470588		 Val RE1 dist: 92253.63235294117
             	SED dist: 8941.260416666666		 Val SED dist: 3967.462775735294

Epoch 2/9000: 	Training Loss: 2312.9206495098038		 Val Loss: 1750.755859375
             	Training MAE: 0.28919026255607605		 Val MAE: 0.2099870890378952
             	Algebraic dist: 60.69658107383579		 Val Algebraic dist: 54.68404971852022
             	RE1 dist: 33024.049019607846		 Val RE1 dist: 4035.2026654411766
             	SED dist: 4625.0444240196075		 Val SED dist: 3501.0629595588234

Epoch 3/9000: 	Training Loss: 1676.8086703431372		 Val Loss: 1737.0735294117646
             	Training MAE: 0.2800242304801941		 Val MAE: 0.2061949372291565
             	Algebraic dist: 51.695441750919116		 Val Algebraic dist: 74.20775649126838
             	RE1 dist: 9765.281862745098		 Val RE1 dist: 6890.88924632353
             	SED dist: 3352.8936887254904		 Val SED dist: 3473.741038602941

Epoch 4/9000: 	Training Loss: 985.4487591911765		 Val Loss: 2369.275505514706
             	Training MAE: 0.27670973539352417		 Val MAE: 0.2975371778011322
             	Algebraic dist: 31.81827081418505		 Val Algebraic dist: 110.89775534237133
             	RE1 dist: 3795.0530024509803		 Val RE1 dist: 16763.547794117647
             	SED dist: 1970.1885723039215		 Val SED dist: 4737.823988970588

Epoch 5/9000: 	Training Loss: 891.3288909313726		 Val Loss: 1698.5776654411766
             	Training MAE: 0.29387763142585754		 Val MAE: 0.31468409299850464
             	Algebraic dist: 42.091164981617645		 Val Algebraic dist: 122.16791130514706
             	RE1 dist: 3739.218443627451		 Val RE1 dist: 21677.553308823528
             	SED dist: 1781.8953737745098		 Val SED dist: 3396.352711397059

Epoch 6/9000: 	Training Loss: 690.7713694852941		 Val Loss: 1603.5078125
             	Training MAE: 0.29657867550849915		 Val MAE: 0.3045380711555481
             	Algebraic dist: 43.955590341605394		 Val Algebraic dist: 102.51544548483456
             	RE1 dist: 5446.34068627451		 Val RE1 dist: 16450.248161764706
             	SED dist: 1380.7754289215686		 Val SED dist: 3206.2640165441176

Epoch 7/9000: 	Training Loss: 572.600222120098		 Val Loss: 1243.048828125
             	Training MAE: 0.29437533020973206		 Val MAE: 0.21109841763973236
             	Algebraic dist: 54.45405369178921		 Val Algebraic dist: 33.00897575827206
             	RE1 dist: 7635.581495098039		 Val RE1 dist: 1389.8488051470588
             	SED dist: 1144.4535845588234		 Val SED dist: 2485.6734834558824

Epoch 8/9000: 	Training Loss: 434.0249693627451		 Val Loss: 716.5992647058823
             	Training MAE: 0.289132297039032		 Val MAE: 0.21721325814723969
             	Algebraic dist: 29.144047755821077		 Val Algebraic dist: 38.33890309053309
             	RE1 dist: 1764.1689644607843		 Val RE1 dist: 2334.036075367647
             	SED dist: 867.3288143382352		 Val SED dist: 1432.7574678308824

Epoch 9/9000: 	Training Loss: 470.66976868872547		 Val Loss: 1116.5422794117646
             	Training MAE: 0.2837027609348297		 Val MAE: 0.23160597681999207
             	Algebraic dist: 31.195886948529413		 Val Algebraic dist: 42.295478372012866
             	RE1 dist: 1557.6078431372548		 Val RE1 dist: 2628.7068014705883
             	SED dist: 940.6387867647059		 Val SED dist: 2232.5861672794117

Epoch 10/9000: 	Training Loss: 1506.3645833333333		 Val Loss: 1085.477596507353
             	Training MAE: 0.2618740499019623		 Val MAE: 0.2109515368938446
             	Algebraic dist: 37.082665536917894		 Val Algebraic dist: 24.2129301183364
             	RE1 dist: 3006.7450980392155		 Val RE1 dist: 548.1191980698529
             	SED dist: 3012.091299019608		 Val SED dist: 2170.485294117647

Epoch 11/9000: 	Training Loss: 1010.0405943627451		 Val Loss: 1306.8933823529412
             	Training MAE: 0.29601001739501953		 Val MAE: 0.22609736025333405
             	Algebraic dist: 43.954570695465684		 Val Algebraic dist: 77.13661104090073
             	RE1 dist: 3996.1620710784314		 Val RE1 dist: 12065.896139705883
             	SED dist: 2019.2939644607843		 Val SED dist: 2613.331341911765

Epoch 12/9000: 	Training Loss: 555.1295955882352		 Val Loss: 1119.8630514705883
             	Training MAE: 0.2834863066673279		 Val MAE: 0.23176570236682892
             	Algebraic dist: 40.12214451210171		 Val Algebraic dist: 84.13438505284927
             	RE1 dist: 3848.196384803922		 Val RE1 dist: 17352.840073529413
             	SED dist: 1109.4981617647059		 Val SED dist: 2239.238970588235

Epoch 13/9000: 	Training Loss: 450.36960018382354		 Val Loss: 984.0635340073529
             	Training MAE: 0.2783575654029846		 Val MAE: 0.24881300330162048
             	Algebraic dist: 33.827124502144606		 Val Algebraic dist: 82.27225988051471
             	RE1 dist: 3111.096200980392		 Val RE1 dist: 12340.819852941177
             	SED dist: 899.9911917892157		 Val SED dist: 1967.5728400735295

Epoch 14/9000: 	Training Loss: 351.1065027573529		 Val Loss: 833.8440372242648
             	Training MAE: 0.281809538602829		 Val MAE: 0.2300182729959488
             	Algebraic dist: 33.98391783471201		 Val Algebraic dist: 56.13583553538603
             	RE1 dist: 3273.5750612745096		 Val RE1 dist: 5764.237591911765
             	SED dist: 701.4729626225491		 Val SED dist: 1667.1833639705883

Epoch 15/9000: 	Training Loss: 366.57119332107845		 Val Loss: 797.0719209558823
             	Training MAE: 0.29310137033462524		 Val MAE: 0.20623892545700073
             	Algebraic dist: 32.61480353860294		 Val Algebraic dist: 38.52542652803309
             	RE1 dist: 2322.8478860294117		 Val RE1 dist: 2133.026654411765
             	SED dist: 732.3746936274509		 Val SED dist: 1593.7250689338234

Epoch 16/9000: 	Training Loss: 340.0982306985294		 Val Loss: 779.4903492647059
             	Training MAE: 0.29948243498802185		 Val MAE: 0.20171092450618744
             	Algebraic dist: 30.823888442095587		 Val Algebraic dist: 48.48050106272978
             	RE1 dist: 2308.8576899509803		 Val RE1 dist: 3527.3334099264707
             	SED dist: 679.4367340686274		 Val SED dist: 1558.5760569852941

Epoch 17/9000: 	Training Loss: 402.3772977941176		 Val Loss: 823.3705767463235
             	Training MAE: 0.305844783782959		 Val MAE: 0.25816234946250916
             	Algebraic dist: 41.254921109068626		 Val Algebraic dist: 64.59559541590073
